Topic,Count,Name,Representation,Representative_Docs
-1,2898,-1_спасибо_готово_по_карамельной,"['спасибо', 'готово', 'по', 'карамельной', 'карамельную', 'милан', 'противопоказания', 'процедур', 'карамельная', 'благодарю']","['Поставил(-а) ""Нравится"" вашему сообщению', 'Доброе утро! Скажите пожалуйста, к Вам записаться можно на антицеллюлитный массаж? 10 процедур)', 'Ок, отлично! Спасибо, до встречи🌺']"
0,21835,0_по_так_вообще_что,"['по', 'так', 'вообще', 'что', 'процедура', 'просто', 'же', 'курс', 'за', 'мы']","['Здравствуйте, вчера посмотрела сторис ваши разница антицеллюлитный или карамельная, и по описанию мне стало понятно, что сначала мне надо сделать антицеллюлитный массаж и потом карамельную парочку раз.\n\nВ это расписание моё я могу заменить на антицеллюлитный? И добавить еще 5 процедур\nЧтобы пройти курс полностью', 'Всё поняла спасибо💕. Добрый день, хотела у вас спросить. Я записана на 26 число у вас на карамельку на всё тело, но дело в том что КД ещё не закончились и 26 как раз будет 5 день, вы меня примети или когда КД нельзя делать? 🌹 на эти дни у меня уже нечего не болит обычно.', 'Здравствуйте, а можно узнать) \nМожно пока что пару раз сделать антицеллюлитный массаж, будет эффект? \nПросто курс 10 процедур, а я не знаю буду в городе с июля или нет']"
1,1347,1_918_961_988_58,"['918', '961', '988', '58', '962', '9804', '909', '59', '928', '52']","['Здравствуйте, да, запишите пожалуйста 🙏🏻\nАнастасия \n8-928-009-05-58', 'Виктория, 8-988-677-35-72', 'Виктория, 8/988-677-35-72']"
2,691,2_массажи_массаж_массажей_массажа,"['массажи', 'массаж', 'массажей', 'массажа', 'массажу', 'массажем', 'длится', 'лечебный', 'медовый', 'расслабляющий']","['Добрый вечер \nПодскажите когда у вас есть места на массаж спины и лица?', 'Добрый вечер. Подскажите пожалуйста, сколько по времени длится общий массаж?', 'Здравствуйте, подскажите пожалуйста сколько по времени длится классический массаж всего тела?)']"
3,634,3_да_даа_действительно_моему,"['да', 'даа', 'действительно', 'моему', 'нашему', 'ладно', 'нет', 'вполне', 'добрый', 'верно']","['Да', 'Да', 'Да']"
4,546,4_заведение_адресу_вокзальной_сити,"['заведение', 'адресу', 'вокзальной', 'сити', 'мест', 'вокзала', 'где', 'центре', 'центр', 'помещении']","['Добрый день. Подскажите пожалуйста где вы находитесь в Михайловске?', 'Добрый день, Адмирал это район, по другому его ещё называют Вилла Нова \n\nМихайловск вообще город небольшой, от автостанции ехать на маршрутке минут 15, на машине быстрее \n\nСкажу Вам честно, к нам приезжает вся Шпаковка, из ближайших сел и даже со Ставрополя, поэтому не сказала бы, что с местом  какие то проблемы 😅 свои клиенты всегда тебя найдут', 'Площадь 18 кв.метров. Находится на 2м этаже торгово-делового центра. Есть лифт. Охраняется круглосуточно, парковка вокруг всего здания, хорошая транспортная развязка, вокруг столовые, кафе и магазины. Установлена ролета, есть мобильный кондиционер. Цена 7 тысяч плюс коммунальные услуги.']"
5,507,5_оплатить_наличными_платить_оплачивается,"['оплатить', 'наличными', 'платить', 'оплачивается', 'оплата', 'оплату', 'оплате', 'оплачивать', 'выплачивать', 'стоить']","['Добрый вечер! Подскажите пожалуйста, возможна ли оплата картой?', 'Хорошо, поняла) а ещё скажите пожалуйста, у вас оплата производится картой по терминалу? (Интересует оплата картой рассрочки)', 'Верно. Спасибо, до встречи!) Здравствуйте, подскажите у вас есть оплата картой?']"
6,400,6_спасибо_поздравления_поздравить_прошу,"['спасибо', 'поздравления', 'поздравить', 'прошу', 'поздравляю', 'благодарю', 'благодарна', 'приветики', 'очень', 'вам']","['Спасибо большое, до встречи)', 'Спасибо большое 🤗\nДо встречи!', 'Да ❤️. Спасибо большое, до встречи ☺️']"
7,328,7_обучение_обучения_обучаются_обучиться,"['обучение', 'обучения', 'обучаются', 'обучиться', 'обуч', 'обучению', 'индивидуальное', 'пройдя', 'потребуется', 'школа']","['Добрый день. Подскажите пожалуйста сколько стоит обучение массажу у вас?', 'Здравствуйте, скажите пожалуйста, сколько стоит обучение у вас?', 'Здравствуйте 😌 подскажите пожалуйста, а сколько стоит у вас обучение массажу и карамельной липосакции?']"
8,225,8_работаю_работе_зарплата_работу,"['работаю', 'работе', 'зарплата', 'работу', 'рабочие', 'вакансия', 'поработаем', 'работы', 'бухгалтерии', 'занятость']","['Я работаю по будням с 16:00, но не всегда, поэтому в дни работы до 15:00 только могу, а в остальные дни можно и вечером. А вы до скольки работаете?', 'Нет я работаю неделю до 19:00 неделю до 17:00 как раз следующую я работаю до 17:00 мне же еще доехать надо это минут 15 примерно', 'Обухова Анастасия Валерьевна \n89899761788\nАвто нет \nОпыт работы 2 года занималась маникюром ( работала сама на себя) \nПерестала работать потому что поняла что это не мое \nСейчас источник дохода не имеется \nЖелаемая зарплата 18-20 тыс.\nСемейное положение-одинока \nУвлечений нет на данный момент, учусь на педагога \nОчень пунктуальна, добрая, исполнительная, ответственная отзывчивая, айфон имеется)']"
