Ответы,Вопросы
"Принимаем по адресу:
- Центр,Ставрополь, ул.Пушкина 9 тц «Сити Парк»
- Юг, Ставрополь, ул.50лет ВЛКСМ 28а, тц «Милан»
- Михайловск, ул. Вокзальная 117/1","По какому адресу принимаете?

"
"Принимаем по адресу: - Центр,Ставрополь, ул.Пушкина 9 тц «Сити Парк» 
- Юг, Ставрополь, ул.50лет ВЛКСМ 28а, тц «Милан» 
- Михайловск, ул. Вокзальная 117/1",Какой у вас адрес?
"Да, Ставрополь, ул.50лет ВЛКСМ 28а, тц «Милан»",На юге принимаете?
"Да, Ставрополь, ул.Пушкина 9 тц «Сити Парк»",В центре принимаете?
"Да, Михайловск, ул. Вокзальная 117/1",В Михайловске принимаете?
Эффект от процедуры накопительный и держится до полугода.,"Как долго держиться эффкет от процедур? 
"
"Все зависит какой результат вы хотите, от вашего веса и ваших объемов, делать можно как раз в неделю, так и через день, зависит как срочно вам нужен эффект! Чем больше процедур, тем больше уходит объем!

","Как часто нужно делать массаж?
"
"Кавитация - это единственный прямой терапевтический метод воздействия на жировую ткань. Эффект кавитации делает жировые образования мягче, отделяет их от других тканей и дает возможность их выведения из организма.",Что такое кавитация?
"И тот и тот массаж эффективный, единственное, что карамельная липосакция не такая агрессивная как антицеллюлитный массаж и она дает более быстрее результат, если на антицеллюлитный массаж надо отходить 10 процедур, карамельной может хватить 5-7 процедур ",Какой массаж эффективнее карамельная липосакция или антицеллюлитный?
"Противопоказания:
Операции (процедуру можно проводить не раньше, чем через полгода после операционного вмешательства)
Беременность 
Критические дни (первые три дня)
Миома матки и кисты в прогрессивном росте!
Эпилепсия 
Сердечно сосудистые заболевания 
Варикозное расширение вен 2-3 степени (можно обертывание)
Гипертония 
Грудное вскармливание до 6 месяцев 
Алкогольное опьянение 
","Какие есть противопоказания?
"
"Я поделюсь с вами советами по уходу за кожей после пройденного курса массажа.
Помимо того, что Вы знаете о соблюдении водного режима, адекватного питания и физической активности, для поддержания тела необходимы уходовые процедуры.
",Нужно ли как то ухаживать за кожей после массажа?
"Как максимально сохранить и продлить эффект от массажа в домашних условиях: Контрастный душ (ежедневно, как почистить зубы, утро/вечер. Единственное, если делаем утром заканчиваем холодной водой, вечером - горячей. Поверьте, это лучший лимфодренаж в домашних условиях который может быть Ж * Скрабирование можете делать любое, которое любите, я выбираю на тростниковом сахаре, маслянистые, не люблю солевые, тут выбирайте на свое усмотрение, но умоляю давайте без вот этой «скорлупы грецких орехов» ) * Обязательно, после любого, даже маслянистого скраба, как смыли - наносите увлажняющее молочко или крем. * Обертывание - холодное или контрастное, какое именно - прикреплю в посте, наносите под пленку, на проблемные зоны не менее 40-45 минут.",Как сохранить и продлить эффект после процедуры?
"Мы делаем такие виды массажа как: 
карамельная липосакция,
антицеллюлитный массаж, 
медовый массаж, 
лимфодренажный массаж(ручной и аппаратный),
обертывание, дренажный массаж, 
массаж с горячим скрабом, 
аппаратный массаж, 
вибромассаж, кавитация, 
вакумный массаж, 
биофотон, 
массаж лица классический, 
сплит массаж лица. ",Какие виды массажа вы делаете?
"Мы делаем такие виды массажа как: 
карамельная липосакция,
антицеллюлитный массаж, 
медовый массаж, 
лимфодренажный массаж(ручной и аппаратный),
обертывание, дренажный массаж, 
массаж с горячим скрабом, 
аппаратный массаж, 
вибромассаж, кавитация, 
вакумный массаж, 
биофотон, 
массаж лица классический, 
сплит массаж лица. ",Какой массажа вы делаете?
"Прорабатываемются следующие зоны:
лицо, ШВ3, декольте, голова.
Методика направленная на более равномерное распределение жировой ткани, выравнивание мышечного тонуса, формирование объемов и сглаживание неровностей, т.е. создание достаточного и сбалансированного распределения тканей на лице.
Результатом массажа является полное устранение болезненных уплотнений и жировой гипертрофии лица и шеи, расслабление спазмированных мышц лица, перераспределение глубоких и поверхностных жиров с целью создания молодого объемного лица.
Данный массаж уменьшает морщины, подтягивает и наполняет лицо, улучшает его цвет. 
Массаж нужно периодически повторять, чтобы контролировать процесс образования жировых гипертрофий и мышечных спазмов!","Какой эффект дает сплит массаж лица?
"
"Сплит массаж - это инновация в области массажа лица. 
Чтобы лучше понять, что это такое, попробуем провести аналогии с массажем тела.
Лицо, так же как и тело, состоит из жировой ткани, мышц, креплений, связок, костей, фасций. 
Изменения, которые происходят с нашим телом, также происходят в тканях, из которых состоит наше лицо. 
И благодаря сплит массажу наше лицо, как и тело можно поддерживать в отличной форме.
","Что такое сплит массаж?
"
Сплит массаж лица длится около 2-х часов,Сколько по времени длится сплит массаж лица?
"Сплит массаж лица
Стоимость 3000₽
",Сколько стоит сплит массаж лица?
