Topic,Count,Name,Representation,Representative_Docs
-1,2712,-1_обед_обеда_каждый_по,"['обед', 'обеда', 'каждый', 'по', 'до', 'процедур', 'время', 'дом', '30', '19']","['Если в Михайловке, то лучше днем, т.к. в первой половине дня там буду территориально. Если нет, то может в Ставрополе в центре в любое время во второй половине дня 20.05?', 'Нет отлично 10.06 подходит давайте на 11:00', 'Да начать можно и с завтрашнего дня. А время  вот наверное вечер я до 19 работаю  или с утра. Смотря в какие дни есть окошки свободные, просто у меня такой график с 10-19 или с 13-22']"
0,20685,0_раз_если_же_по,"['раз', 'если', 'же', 'по', 'вообще', 'курс', 'надо', 'до', 'так', 'на']","['Тогда на 5 число можно записаться? По времени мне удобно либо к 13.00 либо после 18.00 ( если есть такая возможность)', 'Я бы хотела курс. Если честно,я даже не знаю. Думаю делать курс антицеллюлитного  массажа. Сейчас идёт акция? (7000 руб). Верно?К 18:30 смогу. Боюсь не успею доехать к 18:00.', 'Доброе утро! Немного занята вчера была! Можно сначала разово попробовать, потом посмотрю. Начать хочу с понедельника, если у вас есть свободные окошки, мне удобно с утра! Мне удобнее в центре, конечно, но можно и в Михайловске, если там по свободнее!']"
1,1121,1_8197_9887604795_5469_89054653720,"['8197', '9887604795', '5469', '89054653720', '2544', '2149', '89280107476', '9804', '8962', '89034175222']","['5469 6000 2544 3870. Получатель Виктория Витальевна Н. 😊', 'Всё так же \n \nПолучатель Виктория Витальевна Н. 5469 6000 2544 3870', 'Здравствуйте \n50₽. 5469 9804 7146 2149. Виктория Витальевна Н.']"
2,670,2_да_ладно_даа_верно,"['да', 'ладно', 'даа', 'верно', 'действительно', 'добрая', 'отлично', 'вполне', 'даааа', 'дааа']","['Да, отлично! Спасибо', 'Да. Отлично', 'Да отлично 😘']"
3,548,3_массажи_массаж_массажей_массажу,"['массажи', 'массаж', 'массажей', 'массажу', 'массажа', 'массажем', 'по', 'длится', 'лечебный', 'курс']","['Здравствуйте. Подскажите, пожалуйста, чем вы делаете антицеллюлитный массаж?', 'Здравствуйте 🌸. Подскажите сколько вы по времени делаете массаж спины? И какой у вас график работы?', 'Здравствуйте, подскажите, пожалуйста, вы только антицеллюлитный массаж делаете?']"
4,524,4_заведение_центр_адресу_вокзальной,"['заведение', 'центр', 'адресу', 'вокзальной', 'вокзала', 'центре', 'кабинет', 'где', 'кабинете', 'сити']","['А где вы находитесь? Мне бы удобнее на юге если есть окошко?', 'Ну подскажите еще пожалуйста, в Михайловске вы где находитесь?', 'Добрый день, Адмирал это район, по другому его ещё называют Вилла Нова \n\nМихайловск вообще город небольшой, от автостанции ехать на маршрутке минут 15, на машине быстрее \n\nСкажу Вам честно, к нам приезжает вся Шпаковка, из ближайших сел и даже со Ставрополя, поэтому не сказала бы, что с местом  какие то проблемы 😅 свои клиенты всегда тебя найдут']"
5,334,5_спасибо_благодарна_доброй_благодарю,"['спасибо', 'благодарна', 'доброй', 'благодарю', 'больно', 'большое', 'спасибочки', 'безумно', 'очень', 'огромное']","['Хорошо \nСпасибо большое ♥️🥰', 'Хорошо \nСпасибо большое..', 'Хорошо,спасибо большое.']"
6,308,6_обучение_обучения_обучиться_учиться,"['обучение', 'обучения', 'обучиться', 'учиться', 'обучению', 'индивидуальное', 'ученица', 'нужно', 'потребуется', '15000']","['😍. Здравствуйте 🌹  скажите  сколько у вас стоит обучение?', 'Добрый день. Подскажите пожалуйста сколько стоит обучение массажу у вас?', 'Здравствуйте \nСкажите пожалуйста сколько стоит у вас обучение массажа и сколько длится обучение?']"
7,204,7_поставил_нравится__,"['поставил', 'нравится', '', '', '', '', '', '', '', '']","['Поставил(-а) ""Нравится"" вашему сообщению', 'Поставил(-а) ""Нравится"" вашему сообщению', 'Поставил(-а) ""Нравится"" вашему сообщению']"
8,187,8_саксаульная_сити_посходили_оксане,"['саксаульная', 'сити', 'посходили', 'оксане', 'центре', 'ул', 'находитесь', 'пушкина', 'пушкин', 'арина']","['На Пушкина)', 'На Пушкина', 'На Пушкина?']"
9,171,9_00_минут_вечера_время,"['00', 'минут', 'вечера', 'время', 'часу', 'часа', '08', 'часов', 'часика', '07']","['11.07 17:00 \n12.07 в 15:00. 30*', '26.06 14:00\n29.06 14:00\n01.07  10:00\n04.07 10:00\n07.07 13:00', '26.06- 11:00\n29.06- 16:00\n01.07- 13:00\n04.07-15:00\n07.07- 14:00']"
