Topic,Count,Name,Representation,Representative_Docs
-1,2825,-1_курс_по_процедур_каждый,"['курс', 'по', 'процедур', 'каждый', 'на', 'за', 'то', 'раз', 'во', 'если']","['Извините не могла зайти сюда. И планы изменились. Добрый день, очень хочу к вам на карамельную липосакцию на все тело. Подскажите, на субботу, воскресенье, понедельник, вторник есть ли места?', 'Добрый день!хотела записаться к вам на карамельную липосакцию,когда есть свободные окошки?', '🔥. 🔥. Добрый день)Подскажите сколько сейчас курс стоит?']"
0,4721,0_же_но_по_просто,"['же', 'но', 'по', 'просто', 'так', 'раз', 'мы', 'то', 'ок', 'вот']","['Я могу хоть с завтра, единственное, тогда будет перерыв, так как Кд скоро. Сейчас работы поменьше, поэтому я могу подстроиться под вас. Днём, в будни, с 11 до 15:30 мне удобно, пока дочь в садике ). Мне не обязательно одно и тоже время, как будет вам удобно. Я фотограф, у меня в разное время съёмки, поэтому подстроится всегда могу. Сколько раз в неделю желательно )?', 'Небольшая не только с ситуацией, но и праздники были. Люди даже на халяву стали плохо идти😂. Социалки работают чуть по другому  нежели коммерческие странички. Честно-зажрались. У меня бокс выйграла девушка с наполнением на 5k, и не забрала.....месяц ей писала,но никак🤦🏻\u200d♀️. Ничего, выберемся👍 девочки, будут ещё странички рабочие (может вы публиковались где то)-пишите обязательно\n\nПридётся о розыгрыше на наших страничках рассказывать чуть больше, ибо раньше таргет все за нас делал, сейчас так не сработает. Соглсна👍🏻. Значит будет говорить. Люблю общение в сторис ) Дорогие спонсоры, здравствуйте. Продублируйте здесь, пожалуйста, что Вы будете дарить и все ли скинули визитки. Добрый день, подарочный на 1000₽, визитку скинула на вотсап. Доброе! Да. Добрый день \nБенто тортик. Добрый день,абонемент на 4 занятия. Блокнот с ручкой и дизайном 🌼. Бьюти Бокс. Абонемент на 4 занятия. Мне деньги не нужны 🌼давайте продвигаться дальше) подождём чуть и будет дальше работать. Будем*. Продвигаться дальше. Будем продвигаться дальше. В вк меня там нет \nЯ даже не знаю... и сколько ждать тоже мы не знаем. Давайте подождём до понед. 89887084362 )Я за любой движ)Только не потерять меня 🤣. Кстати да, может создать в телеге группу или вотсап, 89887068408. Я за \n9187692116. 89624216060. +79097683293. 89966302842. Девочки, доброго дня \nКак Ваша статистика, все ли создали в вк?', 'Если мы не будем закрывать они будут и на нашей странице писать номерки, и будет путаница. Даже когда указываешь, все равно не до всех доходит 😂. Это да 😂😂. 🎁🔥ПОДАРКИ🔥🎁\n1 От @angelina_khachaturyan профессиональный макияж +уходовая процедура ❤️💋\n2 От @sekret_mody26 сертификат на 3000₽\n☺️\n3 От @photo_ekaterina_  крутая 20 мин съемка 🤗🤩\n4 От @sweet.nails.stav покрытие гель лаком 🤤\n5 От @alina_make.up профессиональный макияж 😱🥰\n6 От @diana_hairstylist_stavropol уходовая процедура ботокс для волос ☺️💆🏼\u200d♀️\n7 От @floradepilyaciya будет целых два приза 😱 Шугаринг бикини и воск бикини \n8 От @cactusbeautyzone любое наращивание ресничек 😱☺️☺️☺️☺️ \n9 От  @fashion____jeans26 свитшот или -50% на джинсы скидка 🤩🎁\n10 От @lika_brow_26_ коррекция бровей + окрашивание хной \nЯ ч11 От @nogotki_laz  покрытие гель-лаком 🙌🏼\n12 От @prazdnik_deti_stav Скидка 20% на анимационную программу👋🥳\n13 От @marine_balyan_   Профессиональный макияж 😍😍🥳🙌🏼\n\n\n\n\n🔥Стоп 25 сентября в 19:00🔥\nЖелаем всем УДАЧИ 🎁.. Да допиши, что исключительно у тебя ставить коменты ) Там написано, что номер ставить у Ангелины.. А выкладывать 2 текста?']"
1,737,1_оплатить_оплачивается_наличными_платить,"['оплатить', 'оплачивается', 'наличными', 'платить', 'предоплата', 'предоплату', 'оплачивать', 'оплата', 'оплату', 'оплате']","['Поняла, отлично, подскажите цену пожалуйста. И Нужна ли предоплата?', 'Оплата за курс сразу или можно частями?', 'Предоплата или полная оплата сейчас нужна?']"
2,417,2_процедурами_процедура_процедуру_процедуры,"['процедурами', 'процедура', 'процедуру', 'процедуры', 'длительность', 'процедур', 'процедурой', 'длится', 'процедуре', 'длиться']","['А сколько по времени длится процедура?', 'Да давайте 😊. А сколько по времени занимает процедура?', '☺️. Добрый день! А сколько по времени длится процедура?']"
3,363,3_записаться_прием_предварительно_прийти,"['записаться', 'прием', 'предварительно', 'прийти', 'подбирается', 'приходить', 'подбираете', 'приходу', 'можно', 'подходящую']","['Здравствуйте, можно записаться к Вам на карамельную липосакцию?', 'Добрый день. Можно к вам записаться на карамельную липосакцию?', 'Добрый день, подскажите, пожалуйста, а как к вам можно записаться на карамельную липосакцию?']"
4,361,4_когда_после_отмечать_позднее,"['когда', 'после', 'отмечать', 'позднее', 'сеанс', 'начнутся', 'послезавтра', 'сеансы', 'сеансов', 'среду']","['Здравствуйте может есть по Раньше даты если это возможно?', 'А есть у вас с 16 мая на 18.30 время?', 'Давайте 16 мая в 11.00. А следующий сеанс через день должен быть?']"
5,335,5_адресу_где_заведение_кабинете,"['адресу', 'где', 'заведение', 'кабинете', 'рядом', 'сити', 'этаже', 'центре', 'вокзальной', 'справа']","['Отлично. Здравствуйте,подскажите на Пушкина на каком этаже вы находитесь?', 'Здравствуйте, подскажите, пожалуйста, где именно в Михайловске вы находитесь?', 'Добрый день. Подскажите пожалуйста где вы находитесь в Михайловске?']"
6,302,6_работу_работе_работаю_работает,"['работу', 'работе', 'работаю', 'работает', 'работать', 'рабочие', 'работой', 'работы', 'вакансия', 'работаете']","['Здравствуйте, подскажите а до скольки вы работаете?', 'Ставрополь, юг, в выходные дни в любое время, а будние, не раньше 19 00, вы до скольки работаете?', 'Я работаю по будням с 16:00, но не всегда, поэтому в дни работы до 15:00 только могу, а в остальные дни можно и вечером. А вы до скольки работаете?']"
7,251,7_обучение_обучения_обучаются_учиться,"['обучение', 'обучения', 'обучаются', 'учиться', 'обучиться', 'обучению', 'индивидуальное', 'обучен', 'ученица', 'учите']","['Здравствуйте \nСкажите пожалуйста сколько стоит у вас обучение массажа и сколько длится обучение?', 'Добрый день. Подскажите пожалуйста сколько стоит обучение массажу у вас?', 'Здравствуйте 😌 подскажите пожалуйста, а сколько стоит у вас обучение массажу и карамельной липосакции?']"
8,210,8_пятница_воскресенье_вторник_среда,"['пятница', 'воскресенье', 'вторник', 'среда', 'суббота', 'четверг', 'понедельник', 'недели', 'неделя', 'субботы']","['В четверг в первой половине дня если?', 'В субботу не смогу, есть воскресенье или вторник/четверг.?', 'Мне удобно вторник,четверг,суббота,воскресенье и желательно на вечер после шести,так вообще можно)?']"
9,144,9_свободные_свободных_окошко_окошки,"['свободные', 'свободных', 'окошко', 'окошки', 'нет', 'во', 'дня', 'есть', 'центре', 'процедуру']","['🔥. Добрый день 😃 а когда есть свободные окошки на процедуру?', 'Есть ли ещё свободные окошки на завтра?', 'Здравствуйте. У вас есть окошки свободные сегодня или завтра на липосакцию?']"
10,94,10_сити_напротив_саксаульная_парке,"['сити', 'напротив', 'саксаульная', 'парке', 'екатерина', 'центре', 'местные', 'парк', 'находитесь', 'рядом']","['На Пушкина?', 'А на Пушкина?', 'А на Пушкина?']"
11,86,11_принимаете_принимает_принимаешь_принимают,"['принимаете', 'принимает', 'принимаешь', 'принимают', 'берёшь', 'принимаем', 'кинешь', 'можете', 'клиента', 'дашь']","['А вы где принимаете?', 'Здравствуйте. А где вы принимаете?', 'Здравствуйте. А где вы принимаете?']"
12,83,12_центр_территориально_пятигорске_адрес,"['центр', 'территориально', 'пятигорске', 'адрес', 'район', 'пятницу', 'феврале', 'мест', 'место', 'воскресенье']","['Здравствуйте, вы в Ставрополе принимаете?', 'И где вы в Ставрополе принимаете?', 'Здравствуйте \nА Вы в Ставрополе принимаете?']"
13,79,13_ягодицами_бедра_ягодицы_ноги,"['ягодицами', 'бедра', 'ягодицы', 'ноги', 'ягодиц', 'живота', 'спинку', 'прядей', 'пятницк', 'бока']","['Добрый день,подскажите пожалуйста, «ноги полностью»- туда ягодицы входят?', 'А ноги полностью если, туда не входят ягодицы?', 'Ноги полностью это ягодицы -бедра входит?']"
14,76,14_тело_спина_следы_стоит,"['тело', 'спина', 'следы', 'стоит', 'живот', 'болит', 'переднюю', 'выложу', 'жутко', 'на']","['На все тело?', 'На все тело?', 'А на все тело сколько по времени?']"
15,61,15_акции_акцию_акция_предложение,"['акции', 'акцию', 'акция', 'предложение', 'отменить', 'январе', 'рекламу', 'депозит', 'продлится', 'начинается']","['До какого числа действует акция?', 'Здравствуйте, подскажите пожалуйста об акции 5000 за курс, какой именно массаж и после нового года эта акция будет?', 'Поняла, а до какого числа будет действовать акция про 5000?']"
16,57,16_забрать_взять_забирать_принести,"['забрать', 'взять', 'забирать', 'принести', 'брать', 'привезти', 'приносить', 'возьмёте', 'нужна', 'нужно']","['Что нужно с собой брать?', 'Что нужно с собой брать?', 'Что-то с собой брать нужно?']"
17,50,17_подъехать_приезжать_идти_ехать,"['подъехать', 'приезжать', 'идти', 'ехать', 'обратно', 'придти', 'пойдет', 'попасть', 'приехать', 'уйдет']","['Да. Куда подъехать?', 'Здравствуйте. Подскажите, если это отёк, он обратно через пару дней не вернётся?', 'А 22го в 17:00 нельзя будет подъехать к вам самой забрать?']"
